Sample	num_nodes	num_edges	edge_density	num_pos_edges	portion_pos_edges	num_neg_edges	portion_neg_edges	average_pos_association_strength	average_neg_association_strength	transitivity_global_clusering_coef	transitivity_ave_clustering_coef_mean_local	ave_path_length	diameter	mean_degree	degreecentralization	assortativity_nominal_EukProk	assortativity_degree	ave_node_betweenness	ave_edge_betweenness	betweennesscentralization	ave_closeness	closenesscentralization	closenesscentralization_disconnected_graphs	closenesscentralization_disconnected_graphs_normalized
Hotmix_HM002_2000m	434	1178	0.0125371164632135	1175	0.997453310696095	3	0.00254668930390492	0.199272191290711	-0.168607645834985	0.0548359240069085	0.0646983051224696	4.26523942005383	11	5.42857142857143	0.0244143846915209	0.777266390230184	0.210745388272958	665.251152073733	320.153650254669	0.0433507142519803	0.000130836461436258	0.00944330985854469	108.521510529921	0.250627045103743
Hotmix_HM003_1000m	137	199	0.0213610991841992	199	1	0	0	0.213400255039955	NaN	0.0972972972972973	0.104433004433004	5.21489104116223	11	2.90510948905109	0.0521683125805067	0.795051088164349	0.077307423478038	254.124087591241	216.457286432161	0.157799818987703	0.000538712765808297	0.0266806014892658	28.3332801424042	0.208332942223561
Hotmix_HM004_130m	542	1594	0.0108723083533978	1592	0.998745294855709	2	0.00125470514429109	0.192909470739455	-0.191246516220062	0.0508723779651049	0.0522766979593484	4.50054907203416	12	5.88191881918819	0.0223994106854192	0.893089054212667	0.327748334007895	946.89852398524	413.946047678795	0.0444172690608669	0.00041946413600546	0.13551878303506	137.088916843714	0.253399106919989
Hotmix_HM005_35m	423	1233	0.013814661692044	1231	0.998377939983779	2	0.0016220600162206	0.193800500485566	-0.191246516220062	0.052760736196319	0.0596408927689715	4.26969494746129	11	5.82978723404255	0.0169910255117475	0.906785106785107	0.194395614899036	683.397163120567	306.154095701541	0.0443024680233318	0.000380478289148159	0.0563673017965706	111.97242536817	0.265337500872441
Hotmix_HM006_3m	484	1352	0.0115668257960748	1349	0.997781065088757	3	0.0022189349112426	0.198930486290563	-0.170616313293436	0.0499156016397396	0.0552229277061491	4.298078865393	12	5.58677685950413	0.017418681450302	0.906925733819183	0.274101365074866	640.938016528926	299.01849112426	0.0342867950891257	3.41830412661178e-05	0.00392359888917665	104.685059568531	0.216739253765074
Hotmix_HM007_575m	489	1082	0.00906835629756277	1078	0.99630314232902	4	0.00369685767097967	0.207353621384771	-0.1477048430507	0.0589854502556036	0.0773290129454512	6.31991888543841	18	4.42535787321063	0.0237185289483389	0.851753744976251	0.169557485011553	1282.19836400818	688.403881700555	0.265625501374498	0.000224130431508103	0.049828441768966	97.7159922248248	0.200237688985297
Hotmix_HM008_200m	127	194	0.0242469691288589	193	0.994845360824742	1	0.00515463917525773	0.204878610221673	-0.146764	0.081374321880651	0.0898289412852519	6.7035309793471	17	3.05511811023622	0.0313085864266967	0.943948455693277	0.0496469239669955	337.047244094488	259.329896907216	0.228061396261052	0.000739022489890956	0.0444287649188811	25.0440657279008	0.198762426411911
Hotmix_HM010_25m	430	1195	0.0129560362118502	1192	0.997489539748954	3	0.00251046025104603	0.197079543573699	-0.186908279862898	0.0517241379310345	0.059476335416185	4.30183535825911	11	5.55813953488372	0.0196779964221825	0.915005200134412	0.219182443065819	653.502325581395	306.369874476987	0.0392445949011366	0.000106051809267613	0.00754132752362149	105.536399208027	0.246005592559504
Hotmix_HM011_2000m	143	267	0.0262976460159559	266	0.99625468164794	1	0.00374531835205993	0.216237465316051	-0.1504671	0.0953846153846154	0.135903250188964	4.16210100047642	9	3.73426573426573	0.0300403821530582	0.796970363996558	0.226412279988067	185.657342657343	130.880149812734	0.0890701086943262	0.00038422542440085	0.0169444526577638	33.4978521478522	0.235900367238395
Hotmix_HM012_1250m	243	476	0.0161888242696323	475	0.997899159663866	1	0.00210084033613445	0.207161290211943	-0.1504671	0.0677521008403361	0.0756322624743678	4.65703536493604	11	3.91769547325103	0.0251334897799544	0.773724825302255	0.221158958001063	400.01646090535	260.050420168067	0.0585278639224166	0.000239610464459122	0.0136283732887621	54.8048967036621	0.226466515304389
